Name,Source,Region,Phone,Description,Location,Working_Hours,Latitude,Longitude,Scraped_Date,Beds,Staff_Count
Toukh Teaching Hospital,N/A,El Qalyubia,201534158683,"Teaching Hospital - Departments: Pediatrics, Obstetrics, Anesthesia","Toukh, El Qalyubia, Greater Cairo",24/7,30.1013,31.2135,12/5/2025,330,148
Chest Diseases Hospital,N/A,Cairo,201261222435,"Surgical Hospital - Departments: Gastroenterology, Urology, Dermatology","El Shorouk, Cairo, Greater Cairo",8:00 AM - 10:00 PM,30.0823,31.2062,12/5/2025,228,181
Agouza Private Clinic,N/A,Giza,201584191061,"Private Clinic - Departments: Orthopedics, Surgery, Internal Medicine","Agouza, Giza, Greater Cairo",24/7,30.0481,31.0687,12/5/2025,239,109
Benha Specialized Hospital,N/A,El Qalyubia,201292295734,"Surgical Hospital - Departments: Orthopedics, Surgery, Internal Medicine","Benha, El Qalyubia, Greater Cairo",8:00 AM - 8:00 PM,30.0626,31.21,12/5/2025,190,78
Shubra Hospital,N/A,El Qalyubia,201182434311,"Teaching Hospital - Departments: Pediatrics, Obstetrics, Anesthesia","Benha, El Qalyubia, Greater Cairo",9:00 AM - 5:00 PM,30.1845,31.118,12/5/2025,125,380
Giza Private Clinic,N/A,Giza,201641658000,"Specialized Hospital - Departments: Radiology, Pathology, Lab Services","Giza, Giza, Greater Cairo",8:00 AM - 8:00 PM,30.0444,3125,12/5/2025,226,467
Qalyub Specialized,N/A,El Qalyubia,201285136691,"Medical Center - Departments: Gastroenterology, Urology, Dermatology","Bab El-Sheria, El Qalyubia, Greater Cairo",8:00 AM - 8:00 PM,30.134,31.2922,12/5/2025,71,127
Nasr City Emergency Medical Center,N/A,Cairo,201125888465,"Specialized Hospital - Departments: Cardiology, Emergency Medicine, Oncology","Nasr City, Cairo, Greater Cairo",8:00 AM - 8:00 PM,30.0347,31.2384,12/5/2025,88,138
Maternity Hospital Cairo,N/A,Cairo,201033543200,"Teaching Hospital - Departments: Gastroenterology, Urology, Dermatology","Zamalek, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0199,31.2709,12/5/2025,386,172
Agouza Teaching Hospital,N/A,Giza,201072503615,"Private Clinic - Departments: Ophthalmology, Dentistry, Pharmacy","Agouza, Giza, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0771,31.1477,12/5/2025,493,385
Fifth Settlement General Hospital,N/A,Cairo,201623602703,"Private Clinic - Departments: ICU, Emergency, Trauma Center","Fifth Settlement, Cairo, Greater Cairo",8:00 AM - 10:00 PM,30.0793,31.2556,12/5/2025,306,156
Kasr Al Ainy Hospital,N/A,Cairo,201236609845,"Emergency Medical Center - Departments: ICU, Emergency, Trauma Center","Gezira, Cairo, Greater Cairo",8:00 AM - 10:00 PM,30.1133,31.3193,12/5/2025,114,246
Nasr City General Hospital,N/A,Cairo,201633264024,"Emergency Medical Center - Departments: Radiology, Pathology, Lab Services","Nasr City, Cairo, Greater Cairo",9:00 AM - 5:00 PM,30.0361,31.3056,12/5/2025,286,453
Heliopolis Diagnostic Center,N/A,Cairo,201057374133,"Teaching Hospital - Departments: Cardiology, Emergency Medicine, Oncology","Heliopolis, Cairo, Greater Cairo",8:00 AM - 8:00 PM,30.0104,31.2839,12/5/2025,179,470
Maadi Teaching Hospital,N/A,Giza,201137756599,"General Hospital - Departments: Gastroenterology, Urology, Dermatology","Maadi, Giza, Greater Cairo",8:00 AM - 10:00 PM,29.9547,31.0963,12/5/2025,404,223
Downtown Emergency Medical Center,N/A,Cairo,201167860052,"Medical Center - Departments: Ophthalmology, Dentistry, Pharmacy","Downtown, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.1245,31.2489,12/5/2025,429,356
New Giza Hospital,N/A,Giza,201667548528,"Specialized Hospital - Departments: Radiology, Pathology, Lab Services","October 6th, Giza, Greater Cairo",7:00 AM - 9:00 PM,29.9907,31.01,12/5/2025,464,169
Rehab Surgical Hospital,N/A,Giza,201111694232,"Diagnostic Center - Departments: Radiology, Pathology, Lab Services","Rehab, Giza, Greater Cairo",9:00 AM - 5:00 PM,29.9854,31.1152,12/5/2025,73,100
Misr International Hospital,N/A,Cairo,201632687168,"Specialized Hospital - Departments: ICU, Emergency, Trauma Center","Maadi, Cairo, Greater Cairo",8:00 AM - 8:00 PM,30.1474,31.2801,12/5/2025,330,410
Toukh Emergency Medical Center,N/A,El Qalyubia,201274394329,"Diagnostic Center - Departments: Orthopedics, Surgery, Internal Medicine","Toukh, El Qalyubia, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.2127,31.3432,12/5/2025,140,489
Zamalek Emergency Medical Center,N/A,Cairo,201033189724,"Specialized Hospital - Departments: Pediatrics, Obstetrics, Anesthesia","Zamalek, Cairo, Greater Cairo",8:00 AM - 8:00 PM,30.0351,31.3104,12/5/2025,192,408
Kasr El Nile Specialized Hospital,N/A,Cairo,201256672371,"Private Clinic - Departments: Pediatrics, Obstetrics, Anesthesia","Kasr El Nile, Cairo, Greater Cairo",8:00 AM - 10:00 PM,30.0486,31.2441,12/5/2025,263,422
October 6th Medical Center,N/A,Giza,201024398604,"General Hospital - Departments: Cardiology, Emergency Medicine, Oncology","October 6th, Giza, Greater Cairo",24/7,29.9967,31.1685,12/5/2025,33,445
Fifth Settlement Medical Center,N/A,Cairo,201529775139,"Specialized Hospital - Departments: Pediatrics, Obstetrics, Anesthesia","Fifth Settlement, Cairo, Greater Cairo",24/7,30.0571,31.2366,12/5/2025,489,444
Zamalek Surgical Hospital,N/A,Giza,201511179571,"Diagnostic Center - Departments: Ophthalmology, Dentistry, Pharmacy","Zamalek, Giza, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0404,31.0201,12/5/2025,298,80
Giza Specialized Hospital,N/A,Giza,201274524421,"Surgical Hospital - Departments: Cardiology, Emergency Medicine, Oncology","Giza, Giza, Greater Cairo",8:00 AM - 10:00 PM,3027,31.0675,12/5/2025,199,105
Helwan Teaching Hospital,N/A,Giza,201254558992,"General Hospital - Departments: Gastroenterology, Urology, Dermatology","Helwan, Giza, Greater Cairo",8:00 AM - 8:00 PM,29.9997,31.0228,12/5/2025,223,249
New Giza Surgical Hospital,N/A,Giza,201250959015,"Teaching Hospital - Departments: Cardiology, Emergency Medicine, Oncology","New Giza, Giza, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0841,31.1703,12/5/2025,73,479
Khanka Diagnostic Center,N/A,El Qalyubia,201050515480,"Private Clinic - Departments: Gastroenterology, Urology, Dermatology","Khanka, El Qalyubia, Greater Cairo",24/7,30.1221,31.2996,12/5/2025,128,479
Military Hospital,N/A,Cairo,201052247129,"Specialized Hospital - Departments: Orthopedics, Surgery, Internal Medicine","Maadi, Cairo, Greater Cairo",7:00 AM - 9:00 PM,30.0784,31.3056,12/5/2025,129,288
New Giza Teaching Hospital,N/A,Giza,201071300280,"Private Clinic - Departments: ICU, Emergency, Trauma Center","New Giza, Giza, Greater Cairo",7:00 AM - 9:00 PM,30.0109,31.1893,12/5/2025,160,453
Faculty of Medicine Giza Hospital,N/A,Giza,201060812712,"Medical Center - Departments: Cardiology, Emergency Medicine, Oncology","Dokki, Giza, Greater Cairo",8:00 AM - 10:00 PM,30.047,31.1246,12/5/2025,113,242
Qalyub Medical Center,N/A,El Qalyubia,201075702574,"General Hospital - Departments: Orthopedics, Surgery, Internal Medicine","Qalyub, El Qalyubia, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.2044,31.3465,12/5/2025,482,253
Heliopolis General Hospital,N/A,Cairo,201017359102,"Emergency Medical Center - Departments: Gastroenterology, Urology, Dermatology","Heliopolis, Cairo, Greater Cairo",24/7,30.0558,31.3075,12/5/2025,256,458
Agouza Surgical Hospital,N/A,Giza,201112953904,"Specialized Hospital - Departments: Orthopedics, Surgery, Internal Medicine","Agouza, Giza, Greater Cairo",8:00 AM - 10:00 PM,30.0736,31.1681,12/5/2025,316,291
Mahalla Specialized Hospital,N/A,El Qalyubia,201234225791,"Specialized Hospital - Departments: Orthopedics, Surgery, Internal Medicine","Mahalla, El Qalyubia, Greater Cairo",8:00 AM - 10:00 PM,30.0987,31.2146,12/5/2025,487,347
Abbassia Chest Hospital,N/A,Cairo,201619733918,"Medical Center - Departments: Radiology, Pathology, Lab Services","Kasr El Nile, Cairo, Greater Cairo",9:00 AM - 5:00 PM,30.0628,31.3072,12/5/2025,373,89
Bab El-Sheria Diagnostic Center,N/A,El Qalyubia,201696267242,"Specialized Hospital - Departments: Neurology, Psychiatry, ENT","Bab El-Sheria, El Qalyubia, Greater Cairo",7:00 AM - 9:00 PM,30.243,31.3365,12/5/2025,465,386
Nasr City Medical Center,N/A,Cairo,201654872068,"Specialized Hospital - Departments: Gastroenterology, Urology, Dermatology","Nasr City, Cairo, Greater Cairo",7:00 AM - 9:00 PM,30.0761,31.2222,12/5/2025,48,107
El Shorouk Specialized Hospital,N/A,Cairo,201212646564,"Medical Center - Departments: Orthopedics, Surgery, Internal Medicine","El Shorouk, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.1489,31.3158,12/5/2025,482,263
Garden City Surgical Hospital,N/A,Cairo,201055017793,"General Hospital - Departments: Cardiology, Emergency Medicine, Oncology","Garden City, Cairo, Greater Cairo",9:00 AM - 5:00 PM,30.0296,31.2928,12/5/2025,169,402
Fifth Settlement Private Clinic,N/A,Cairo,201539405135,"Emergency Medical Center - Departments: Pediatrics, Obstetrics, Anesthesia","Fifth Settlement, Cairo, Greater Cairo",8:00 AM - 10:00 PM,30.1154,31.3338,12/5/2025,461,249
Mahalla Hospital,N/A,El Qalyubia,201687077408,"Medical Center - Departments: Ophthalmology, Dentistry, Pharmacy","Khanka, El Qalyubia, Greater Cairo",8:00 AM - 8:00 PM,3044,31.2631,12/5/2025,155,341
Rehab Teaching Hospital,N/A,Giza,201617537444,"Diagnostic Center - Departments: Cardiology, Emergency Medicine, Oncology","Rehab, Giza, Greater Cairo",8:00 AM - 8:00 PM,30.0875,31.1774,12/5/2025,334,208
Qalyubia General Hospital,N/A,El Qalyubia,201175443589,"Medical Center - Departments: ICU, Emergency, Trauma Center","Khanka, El Qalyubia, Greater Cairo",8:00 AM - 10:00 PM,30.2396,31.2819,12/5/2025,192,339
Garden City General Hospital,N/A,Cairo,201174013058,"Teaching Hospital - Departments: Radiology, Pathology, Lab Services","Garden City, Cairo, Greater Cairo",9:00 AM - 5:00 PM,3013,31.2509,12/5/2025,408,302
Qalyubia Medical Center,N/A,El Qalyubia,201167757433,"Medical Center - Departments: Cardiology, Emergency Medicine, Oncology","Mahalla, El Qalyubia, Greater Cairo",24/7,30.1726,31.2053,12/5/2025,428,188
Garden City Teaching Hospital,N/A,Cairo,201126205932,"Teaching Hospital - Departments: Orthopedics, Surgery, Internal Medicine","Garden City, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0583,31.3276,12/5/2025,61,349
New Giza Medical Center,N/A,Giza,201154546968,"Diagnostic Center - Departments: Ophthalmology, Dentistry, Pharmacy","New Giza, Giza, Greater Cairo",9:00 AM - 5:00 PM,30.0597,31.175,12/5/2025,258,314
Benha Medical Center,N/A,El Qalyubia,201233682839,"Diagnostic Center - Departments: Cardiology, Emergency Medicine, Oncology","Benha, El Qalyubia, Greater Cairo",8:00 AM - 10:00 PM,30.1671,31.2151,12/5/2025,77,331
Heliopolis Teaching Hospital,N/A,Cairo,201154457760,"Specialized Hospital - Departments: Orthopedics, Surgery, Internal Medicine","Heliopolis, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0888,31.2129,12/5/2025,239,412
Benha Private Clinic,N/A,El Qalyubia,201690934185,"Specialized Hospital - Departments: ICU, Emergency, Trauma Center","Benha, El Qalyubia, Greater Cairo",24/7,30.2861,31.2706,12/5/2025,250,261
Sheikh Zayed Medical Center,N/A,Giza,201279703339,"General Hospital - Departments: Ophthalmology, Dentistry, Pharmacy","Sheikh Zayed, Giza, Greater Cairo",24/7,30.0849,31.1159,12/5/2025,208,58
Khanka Teaching Hospital,N/A,El Qalyubia,201167069088,"Emergency Medical Center - Departments: Orthopedics, Surgery, Internal Medicine","Khanka, El Qalyubia, Greater Cairo",9:00 AM - 5:00 PM,30.0548,31.2408,12/5/2025,215,145
Gezira Private Clinic,N/A,Cairo,201251849414,"Specialized Hospital - Departments: Cardiology, Emergency Medicine, Oncology","Gezira, Cairo, Greater Cairo",24/7,30.0796,31.27,12/5/2025,363,180
Benha Emergency Medical Center,N/A,El Qalyubia,201075370785,"General Hospital - Departments: Cardiology, Emergency Medicine, Oncology","Benha, El Qalyubia, Greater Cairo",8:00 AM - 8:00 PM,30.2448,31.1921,12/5/2025,254,154
Toukh Specialized Hospital,N/A,El Qalyubia,201680905799,"Diagnostic Center - Departments: Neurology, Psychiatry, ENT","Toukh, El Qalyubia, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.1925,31.224,12/5/2025,472,281
Maadi General Hospital,N/A,Giza,201591456211,"General Hospital - Departments: Ophthalmology, Dentistry, Pharmacy","Maadi, Giza, Greater Cairo",8:00 AM - 10:00 PM,30.0641,31.1476,12/5/2025,364,149
Giza Diagnostic Center,N/A,Giza,201681323693,"Diagnostic Center - Departments: Ophthalmology, Dentistry, Pharmacy","Giza, Giza, Greater Cairo",8:00 AM - 10:00 PM,29.9995,31.1163,12/5/2025,36,469
New Cairo Diagnostic Center,N/A,Cairo,201164095208,"General Hospital - Departments: Neurology, Psychiatry, ENT","New Cairo, Cairo, Greater Cairo",8:00 AM - 8:00 PM,30.1311,31.2196,12/5/2025,56,306
Maadi Surgical Hospital,N/A,Giza,201690899341,"General Hospital - Departments: Pediatrics, Obstetrics, Anesthesia","Maadi, Giza, Greater Cairo",8:00 AM - 10:00 PM,30.0182,31.0686,12/5/2025,439,388
Fayoum General Hospital,N/A,Giza,201623642912,"Medical Center - Departments: Neurology, Psychiatry, ENT","New Giza, Giza, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0906,31.1642,12/5/2025,262,235
Dar Al Fouad Hospital,N/A,Cairo,201041198769,"Emergency Medical Center - Departments: Gastroenterology, Urology, Dermatology","New Cairo, Cairo, Greater Cairo",24/7,30.0903,31.3008,12/5/2025,96,155
Dokki Surgical Hospital,N/A,Giza,201174460163,"Teaching Hospital - Departments: Neurology, Psychiatry, ENT","Dokki, Giza, Greater Cairo",9:00 AM - 5:00 PM,30.0714,31.1481,12/5/2025,314,421
Qalyub Teaching Hospital,N/A,El Qalyubia,201658575914,"General Hospital - Departments: Gastroenterology, Urology, Dermatology","Qalyub, El Qalyubia, Greater Cairo",8:00 AM - 8:00 PM,30.1776,31.1704,12/5/2025,22,216
Bab El-Sheria Teaching Hospital,N/A,El Qalyubia,201243589210,"Specialized Hospital - Departments: Pediatrics, Obstetrics, Anesthesia","Bab El-Sheria, El Qalyubia, Greater Cairo",24/7,30.0385,31.3243,12/5/2025,159,496
Qalyub Private Clinic,N/A,El Qalyubia,201247094163,"Private Clinic - Departments: ICU, Emergency, Trauma Center","Qalyub, El Qalyubia, Greater Cairo",24/7,30.2685,31.2545,12/5/2025,333,178
Agouza Diagnostic Center,N/A,Giza,201526057041,"Teaching Hospital - Departments: ICU, Emergency, Trauma Center","Agouza, Giza, Greater Cairo",8:00 AM - 8:00 PM,29.9583,31.1112,12/5/2025,250,387
Garden City Medical Center,N/A,Cairo,201669860303,"Medical Center - Departments: Orthopedics, Surgery, Internal Medicine","Garden City, Cairo, Greater Cairo",7:00 AM - 9:00 PM,30.0258,31.2039,12/5/2025,495,446
Rehab General Hospital,N/A,Giza,201590031299,"Surgical Hospital - Departments: Neurology, Psychiatry, ENT","Rehab, Giza, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,29.9719,31.0392,12/5/2025,97,81
October 6th Emergency Medical Center,N/A,Giza,201290374860,"General Hospital - Departments: Gastroenterology, Urology, Dermatology","October 6th, Giza, Greater Cairo",8:00 AM - 8:00 PM,29.9692,31.0375,12/5/2025,25,337
Mohandessin Private Clinic,N/A,Cairo,201220692440,"Specialized Hospital - Departments: Gastroenterology, Urology, Dermatology","Mohandessin, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.1209,31.3152,12/5/2025,291,313
Rehab Emergency Medical Center,N/A,Giza,201051093030,"Diagnostic Center - Departments: ICU, Emergency, Trauma Center","Rehab, Giza, Greater Cairo",7:00 AM - 9:00 PM,30.0277,31.0115,12/5/2025,169,153
Mohandessin Teaching Hospital,N/A,Cairo,201270657474,"Private Clinic - Departments: Pediatrics, Obstetrics, Anesthesia","Mohandessin, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,3064,31.2541,12/5/2025,39,340
Benha Surgical Hospital,N/A,El Qalyubia,201523531115,"Emergency Medical Center - Departments: ICU, Emergency, Trauma Center","Benha, El Qalyubia, Greater Cairo",9:00 AM - 5:00 PM,30.053,31.1259,12/5/2025,75,138
Agouza General Hospital,N/A,Giza,201190728164,"Specialized Hospital - Departments: Radiology, Pathology, Lab Services","Agouza, Giza, Greater Cairo",24/7,29.9956,3105,12/5/2025,164,202
Heliopolis Medical Center,N/A,Cairo,201230173722,"Surgical Hospital - Departments: Orthopedics, Surgery, Internal Medicine","Heliopolis, Cairo, Greater Cairo",7:00 AM - 9:00 PM,30.013,31.3366,12/5/2025,453,492
Downtown Diagnostic Center,N/A,Cairo,201180123702,"Medical Center - Departments: ICU, Emergency, Trauma Center","Downtown, Cairo, Greater Cairo",9:00 AM - 5:00 PM,30.1348,31.2576,12/5/2025,59,90
October 6th Teaching Hospital,N/A,Giza,201142529192,"Private Clinic - Departments: Radiology, Pathology, Lab Services","October 6th, Giza, Greater Cairo",8:00 AM - 10:00 PM,30.0476,31.0252,12/5/2025,329,141
Giza Emergency Medical Center,N/A,Giza,201229810481,"Emergency Medical Center - Departments: Gastroenterology, Urology, Dermatology","Giza, Giza, Greater Cairo",9:00 AM - 5:00 PM,30.0703,31.1315,12/5/2025,437,213
Qalyub Diagnostic Center,N/A,El Qalyubia,201041953758,"Private Clinic - Departments: Radiology, Pathology, Lab Services","Qalyub, El Qalyubia, Greater Cairo",8:00 AM - 8:00 PM,30.0274,31.1875,12/5/2025,498,161
Kasr El Nile General Hospital,N/A,Cairo,201554414603,"Medical Center - Departments: Radiology, Pathology, Lab Services","Kasr El Nile, Cairo, Greater Cairo",9:00 AM - 5:00 PM,30.0825,31.2222,12/5/2025,412,211
New Cairo Medical Center,N/A,Cairo,201086064010,"Emergency Medical Center - Departments: Radiology, Pathology, Lab Services","New Cairo, Cairo, Greater Cairo",9:00 AM - 5:00 PM,30.0262,31.2287,12/5/2025,435,274
Al Mansoura Hospital,N/A,El Qalyubia,201298424453,"Surgical Hospital - Departments: Cardiology, Emergency Medicine, Oncology","Bab El-Sheria, El Qalyubia, Greater Cairo",9:00 AM - 5:00 PM,30.1929,31.1474,12/5/2025,288,481
Agouza Specialized Hospital,N/A,Giza,201072825421,"Emergency Medical Center - Departments: Orthopedics, Surgery, Internal Medicine","Agouza, Giza, Greater Cairo",8:00 AM - 10:00 PM,29.9668,31.1565,12/5/2025,360,66
Oncology Hospital,N/A,Cairo,201277623388,"Emergency Medical Center - Departments: Radiology, Pathology, Lab Services","Kasr El Nile, Cairo, Greater Cairo",24/7,30.0419,31.2515,12/5/2025,198,449
Qalyub Specialized Hospital,N/A,El Qalyubia,201222870939,"General Hospital - Departments: ICU, Emergency, Trauma Center","Qalyub, El Qalyubia, Greater Cairo",24/7,30.0628,31.2044,12/5/2025,109,436
New Giza Private Clinic,N/A,Giza,201274674771,"Medical Center - Departments: Cardiology, Emergency Medicine, Oncology","New Giza, Giza, Greater Cairo",9:00 AM - 5:00 PM,29.9865,31.0149,12/5/2025,250,266
El Shorouk Private Clinic,N/A,Cairo,201668698603,"Diagnostic Center - Departments: Radiology, Pathology, Lab Services","El Shorouk, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.1296,31.2999,12/5/2025,192,343
National Heart Institute,N/A,Cairo,201551464764,"Specialized Hospital - Departments: Pediatrics, Obstetrics, Anesthesia","Heliopolis, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,3036,31.2552,12/5/2025,77,405
El Shorouk Teaching Hospital,N/A,Cairo,201154999219,"Medical Center - Departments: Gastroenterology, Urology, Dermatology","El Shorouk, Cairo, Greater Cairo",9:00 AM - 5:00 PM,30.0393,31.222,12/5/2025,230,89
Garden City Emergency Medical Center,N/A,Cairo,201268384414,"Emergency Medical Center - Departments: Gastroenterology, Urology, Dermatology","Garden City, Cairo, Greater Cairo",8:00 AM - 10:00 PM,30.0317,31.2102,12/5/2025,113,478
Benha General Hospital,N/A,El Qalyubia,201177319460,"Specialized Hospital - Departments: Ophthalmology, Dentistry, Pharmacy","Benha, El Qalyubia, Greater Cairo",9:00 AM - 5:00 PM,30.2823,31.1793,12/5/2025,74,87
Khanka Surgical Hospital,N/A,El Qalyubia,201581767914,"Private Clinic - Departments: ICU, Emergency, Trauma Center","Khanka, El Qalyubia, Greater Cairo",8:00 AM - 8:00 PM,30.1307,31.1562,12/5/2025,322,146
Helwan Medical Center,N/A,Giza,201619884864,"Teaching Hospital - Departments: ICU, Emergency, Trauma Center","Helwan, Giza, Greater Cairo",8:00 AM - 10:00 PM,30.07,31.0392,12/5/2025,469,476
Dokki Specialized Hospital,N/A,Giza,201614911053,"Surgical Hospital - Departments: Neurology, Psychiatry, ENT","Dokki, Giza, Greater Cairo",7:00 AM - 9:00 PM,30.0316,31.1522,12/5/2025,28,63
Tanta General Hospital,N/A,El Qalyubia,201248594295,"Teaching Hospital - Departments: Radiology, Pathology, Lab Services","Mahalla, El Qalyubia, Greater Cairo",7:00 AM - 9:00 PM,30.2503,31.1286,12/5/2025,183,202
Mohandessin Surgical Hospital,N/A,Cairo,201681578143,"Diagnostic Center - Departments: Orthopedics, Surgery, Internal Medicine","Mohandessin, Cairo, Greater Cairo",24/7,30.1417,31.2593,12/5/2025,35,290
Dokki Private Clinic,N/A,Giza,201175990575,"Private Clinic - Departments: Pediatrics, Obstetrics, Anesthesia","Dokki, Giza, Greater Cairo",8:00 AM - 8:00 PM,3072,31.1097,12/5/2025,386,407
Downtown Medical Center,N/A,Cairo,201067520672,"Medical Center - Departments: Pediatrics, Obstetrics, Anesthesia","Downtown, Cairo, Greater Cairo",24/7,30.058,31.3133,12/5/2025,398,172
Maadi Hospital,N/A,Giza,201074258569,"Emergency Medical Center - Departments: Neurology, Psychiatry, ENT","Dokki, Giza, Greater Cairo",8:00 AM - 10:00 PM,30.0626,31.114,12/5/2025,267,213
Shubra Specialized Hospital,N/A,El Qalyubia,201616883921,"General Hospital - Departments: Orthopedics, Surgery, Internal Medicine","Shubra, El Qalyubia, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.137,31.3396,12/5/2025,46,222
Qalyub General Hospital,N/A,El Qalyubia,201122450685,"Specialized Hospital - Departments: Pediatrics, Obstetrics, Anesthesia","Qalyub, El Qalyubia, Greater Cairo",24/7,30.2176,31.23,12/5/2025,230,452
Shubra Teaching Hospital,N/A,El Qalyubia,201055090269,"Surgical Hospital - Departments: Cardiology, Emergency Medicine, Oncology","Shubra, El Qalyubia, Greater Cairo",9:00 AM - 5:00 PM,30.0429,31.2081,12/5/2025,254,422
Maadi Diagnostic Center,N/A,Cairo,201649918189,"Specialized Hospital - Departments: Orthopedics, Surgery, Internal Medicine","Maadi, Cairo, Greater Cairo",24/7,30.0521,31.2186,12/5/2025,444,80
Khanka Medical Center,N/A,El Qalyubia,201693289669,"Surgical Hospital - Departments: Neurology, Psychiatry, ENT","Khanka, El Qalyubia, Greater Cairo",24/7,30.2014,31.2779,12/5/2025,357,161
Shubra Medical Center,N/A,El Qalyubia,201268208298,"General Hospital - Departments: Pediatrics, Obstetrics, Anesthesia","Shubra, El Qalyubia, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.2037,31.2299,12/5/2025,138,395
National Liver Institute,N/A,Cairo,201035411345,"Diagnostic Center - Departments: Neurology, Psychiatry, ENT","El Shorouk, Cairo, Greater Cairo",24/7,306,31.325,12/5/2025,79,152
Mohandessin Diagnostic Center,N/A,Cairo,201180052635,"Teaching Hospital - Departments: Radiology, Pathology, Lab Services","Mohandessin, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0751,31.2045,12/5/2025,371,239
Khanka Hospital,N/A,El Qalyubia,201096629379,"General Hospital - Departments: Ophthalmology, Dentistry, Pharmacy","Bab El-Sheria, El Qalyubia, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0923,31.3358,12/5/2025,464,89
Manial University Hospital,N/A,Cairo,201053697892,"Specialized Hospital - Departments: ICU, Emergency, Trauma Center","Fifth Settlement, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0224,31.2189,12/5/2025,165,143
Zamalek Specialized Hospital,N/A,Giza,201691223365,"Diagnostic Center - Departments: Radiology, Pathology, Lab Services","Zamalek, Giza, Greater Cairo",8:00 AM - 10:00 PM,29.983,3186,12/5/2025,131,459
Helwan Specialized Hospital,N/A,Giza,201148744440,"Teaching Hospital - Departments: Neurology, Psychiatry, ENT","Helwan, Giza, Greater Cairo",9:00 AM - 5:00 PM,29.951,31.1042,12/5/2025,170,237
Zamalek Diagnostic Center,N/A,Giza,201531551358,"Surgical Hospital - Departments: Ophthalmology, Dentistry, Pharmacy","Zamalek, Giza, Greater Cairo",24/7,29.9732,31.0671,12/5/2025,30,196
Gezira Diagnostic Center,N/A,Cairo,201610089204,"Surgical Hospital - Departments: Orthopedics, Surgery, Internal Medicine","Gezira, Cairo, Greater Cairo",8:00 AM - 10:00 PM,30.0417,31.3473,12/5/2025,38,87
El Shorouk Surgical Hospital,N/A,Cairo,201671313529,"Medical Center - Departments: Pediatrics, Obstetrics, Anesthesia","El Shorouk, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0957,31.2641,12/5/2025,452,412
Mahalla Surgical Hospital,N/A,El Qalyubia,201540905240,"Teaching Hospital - Departments: Gastroenterology, Urology, Dermatology","Mahalla, El Qalyubia, Greater Cairo",8:00 AM - 8:00 PM,30.1031,31.1578,12/5/2025,381,457
Sheikh Zayed Hospital,N/A,Giza,201158027151,"Medical Center - Departments: Ophthalmology, Dentistry, Pharmacy","Rehab, Giza, Greater Cairo",24/7,29.9803,31.0602,12/5/2025,58,146
New Giza Emergency Medical Center,N/A,Giza,201179706992,"General Hospital - Departments: Neurology, Psychiatry, ENT","New Giza, Giza, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,29.9507,31.0263,12/5/2025,245,222
Zamalek Teaching Hospital,N/A,Giza,201078743303,"Private Clinic - Departments: Neurology, Psychiatry, ENT","Zamalek, Giza, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,29.9797,31.1853,12/5/2025,63,484
Kasr El Nile Diagnostic Center,N/A,Cairo,201612183849,"Diagnostic Center - Departments: ICU, Emergency, Trauma Center","Kasr El Nile, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.1214,31.2491,12/5/2025,316,81
